Tweet,Sentiment,Subjectivity,Date
thoughts on wuhan coronavirus ncov some hh transmission seems to take place long incubation time d masks the scale of the outbreak chinese lunar new year endangers to be significant outbreak vector low mortality rate positive but make human gentile host,0.098376623,0.382142857,1/19/2020
who is proposing studies on the novel coronavirus ncov that can be done in china and elsewhere to better understand transmission risk factors and where the virus is these studies take time and resourcessome of these studies are being undertaken already,0.5,0.5,1/19/2020
rapidly spreading chinese authorities confirm new cases of deadly virus in days coronavirus flu,-0.021212121,0.284848485,1/19/2020
ufc coverageukrainian chinaup championshipukrainians carrierunited coronavirususa calledun countsuss cheat,0,0,1/19/2020
beijing has confirmed that for the first time two people have been diagnosed with the coronavirus they have a history of traveling to wuhan where most of the coronavirusrelated pneumonia cases have occurred flu,0.383333333,0.611111111,1/19/2020
as more novel coronavirus ncov cases are identified and more analysis undertaken we will get a clearer picture of disease severity and transmission patternswe will update and expand our guidance as we learn more,0.5,0.5,1/19/2020
who is constantly analyzing data on the novel coronavirus ncov as we receive it and working closely with global networks of experts on a range of topics,0,0.166666667,1/19/2020
that adds absolutely no new information to the discussion none novel coronavirus is sars novel also still no sars vaccine or cure pretty novel fail,-0.106060606,0.584848485,1/19/2020
thanks to the rapid availability of wuhan ncov sequences here is a prediction of evolutionarily conserved cisacting rnas in the first nt as expected many structurally homologous elements to sars coronavirus china cov,0.2125,0.358333333,1/19/2020
china coronavirus at least three suspected cases in shenzhen shanghai not a epidemic yet probably after lunar new year celebration with everyone packed together via,-0.081818182,0.427272727,1/19/2020
who urges countries to continue preparedness activities for the novel coronavirus ncov and continue sharing of information speedy information sharing has already had a positive impact on the response,0.227272727,0.545454545,1/19/2020
q what can i do to protect myself from coronavirusa,0,0,1/19/2020
an animal source seems the most likely primary source of this novel coronavirus ncov outbreak with some limited humantohuman transmission occurring between close contacts,0.207142857,0.535714286,1/19/2020
china says more infected with new coronavirus strain,0.318181818,0.477272727,1/19/2020
beijing has confirmed that for the first time two people have been diagnosed with the coronavirus they have a history of traveling to wuhan where most of the coronavirusrelated pneumonia cases have occurred flu,0.383333333,0.611111111,1/19/2020
who has issued advice for individuals on how to protect themselves and others from the novel coronavirus ncov,0,0,1/19/2020
china says the deadly coronavirus virus outbreak is controllable via,-0.2,0.4,1/19/2020
china has reported to who new cases of the novel coronavirus ncov in wuhan beijing and shenzhen over the past two daysthis is the result of increased searching and testing for ncov among people sick with respiratory illness,-0.275974026,0.520562771,1/19/2020
who has provided advice to countries on how to identify people sick with the novel coronavirus ncov how to care for them and how to prevent spread,-0.714285714,0.857142857,1/19/2020
china coronavirus at least three suspected cases in shenzhen shanghai via,-0.3,0.4,1/19/2020
beijing confirmed imported cases of ncov from wuhan china coronavirus,0.4,1,1/19/2020
for the first time there are novel coronavirus ncov cases reported outside of wuhan within chinathese cases were identified because of searching and testing for cases outside wuhan,0.083333333,0.144444444,1/19/2020
epidemic situation isstillcontrollablehoweverthe source of the new type of coronavirus has not been found thetransmission of the epidemic has not been fully grasped and themutation of the virus still needs to be closely monitored wuhan,0.136363636,0.454545455,1/19/2020
china has reported to who new cases of the novel coronavirus ncov in wuhan beijing and shenzhen over the past two daysthis is the result of increased searching and testing for ncov among people sick with respiratory illness,-0.275974026,0.520562771,1/19/2020
tipoftheday in pneumologia the wuhan ncov pneumonia outbreak quadruples spreads within china via coronavirus pneumologista,0,0,1/19/2020
indian school teacher in shenzhen first foreigner to contract coronavirus in china undertreatment,0.25,0.333333333,1/19/2020
bbc news new coronavirus preventable and controllable china says,0.136363636,0.454545455,1/19/2020
india issues travel advisory in the wake of novel coronavirus outbreak in china va,0,0,1/19/2020
china accused of wuhan coronavirus coverup very very likely reflect poorly on xjp and the commie party singapore africa africanunion middleeast,-0.2,0.8,1/19/2020
china new coronavirus did china cover up facts like the way they did with sars singapore africa africanunion middleeast,0.136363636,0.454545455,1/19/2020
go get your wife and son harry these media have nothing better to do australia phillipines prince andrew brexit deals coronavirus in china etc need more coverage,0.5,0.5,1/19/2020
in this updatelaboratory testing available media reportwho interim guidance on laboratory testing for ncov in suspected human casesdiagnostic detection of wuhan coronavirus by realtime rtpcrjapan detection of wnhuman sequence from clinical specimen,0.2,0.25,1/19/2020
corona virus dont check the food check the beer,0,0,1/19/2020
shanghai health commission said on sunday it has stepped up screening for suspected coronavirus related pneumonia,0,0.4,1/19/2020
go get your wife and son harry these media have nothing better to do australia phillipines prince andrew brexit deals coronavirus in china etc need more coverage,0.5,0.5,1/19/2020
top story drugs amp pharma cos news china coronavirus at least three suspected cases found in shenzhen shanghai sources say south china morning post see more,0.233333333,0.466666667,1/19/2020
the wuhan coronavirus seems to have evolved from zoonosis to anthropozoonosis here is a primer on this process,0,0,1/19/2020
trudeau airport taking precautionary measures over coronavirus,0,0,1/19/2020
hospital director dies in china of the new coronavirus,0.136363636,0.454545455,2/19/2020
i sent a few dm to some gaming outlets on what i thought on how the coronaviruswould impact gamingabout weeks ago i was pretty much told that it wont happenjust frustrating as now its happening,-0.0375,0.55,2/19/2020
modern vs vintage joey brings it corona virus psa parody response via,0.2,0.3,2/19/2020
my survey of weibo posts leads me to believe a majority of those pneumonia patients were caused by coronavirus as there are a few thousand of posts desperately seeking help but most of them unable to even get in line of getting tested and some unfortunately died at home,-0.26,0.62,2/19/2020
coronavirus kindness volunteers help quarantined chineseaustralians via,0,0,2/19/2020
fpv part one very important coronavirus update via,0.52,1,2/19/2020
our ceo caught up with jamie mackay from yesterday to talk about the gdt results coronavirus and the drought in northland listen to the interview here,0,0,2/19/2020
geneticists across the glove have determined that the coronavirus was not manufactured or genetically manipulated stop the stupid,-0.8,1,2/19/2020
png students quarantine long nz i klia long coronavirus,-0.05,0.4,2/19/2020
tokyo coronavirus cases covid covid infection rates climbing in japan as aging population work ethic government ineptitude and bureaucratic inaction put nation at risk of epidemic here,0,0,2/19/2020
whats scarier the coronavirus george zimmerman still pouncing about,0,0,2/19/2020
vix cnbc headlines can somebody tell me the day before lol pm goldman says market underestimating coronavirus risk correction is looking much more probable pm markets may face pretty serious reckoning as coronavirus slows growth,0.304166667,0.716666667,2/19/2020
the monsters are due in santa rosa coronavirus fears prompt neighbors of california mom daughter in selfquarantine to call cops,-0.125,0.375,2/19/2020
empty shelves coronavirus shortages could hit us stores by april,-0.1,0.5,2/19/2020
the coronavirus outbreak could bring out the worst in trump coronavtj,-1,1,2/19/2020
massive debt coronavavirus exuberant markets is all a everything bubble coronavirus live updates fed sees risk to global growth markets face pretty serious reckoning,0.017171717,0.677777778,2/19/2020
coronavirus and rare earth metals,0.3,0.9,2/19/2020
qantas cuts flights to asia as coronavirus hits demand,0,0,2/19/2020
new coronavirus spreads more like flu than sars chinese study,0.212121212,0.318181818,2/19/2020
china reports large drop in new coronavirus cases in province at heart of outbreak,0.175324675,0.441558442,2/19/2020
i have more of a chance of getting the coronavirus than a girlfriend at this point tbh,0.5,0.5,2/19/2020
fucking coronavirus,-0.6,0.8,2/19/2020
especially when wolf blitzer just said there is growing concern that quarantining wont stop the spread of the coronavirus,0,1,2/19/2020
empty shelves coronavirus shortages could hit us stores by april via,-0.1,0.5,2/19/2020
new coronavirus spreads more like flu than sars chinese study,0.212121212,0.318181818,2/19/2020
the chief executive of a houstonbased genetic engineering firm said his company completed a vaccine targeting the current outbreak of the coronavirus the houston business journal reports,-0.1,0.4,2/19/2020
global response to a growing epidemic the un at work on coronavirusread the full storyvia,0.175,0.275,2/19/2020
this bacteriakilling uv light robot helps a wuhan hospital diagnose coronavirus patients it disinfects its ct scanner to prevent crosscontamination,0.4,0.7,2/19/2020
hubei reports more covid coronavirus deaths to bring toll to,0.5,0.5,2/19/2020
hubei province the epicenter of the coronavirus outbreak had new confirmed cases on wed down from a day earlier and the lowest since jan that brings the total number of confirmed cases in hubei to death toll in hubei reached up by,0.13013468,0.665572391,2/19/2020
sa firms brace for coronavirusimpact,0,0,2/19/2020
tell rambo to stop cutting the cdc centre for disease control funding in times of the coronavirus they need all the help they can get to protect americans,-0.6,0.9,2/19/2020
chinese film director chang kai and family die from coronavirus kai his sister mother and father all died the latest highprofile victims of the disease in wuhan covd,0.25,0.45,2/19/2020
beijings coverup of coronavirus outbreak puts whole world at risk expert saysfor the latest us and political news download the epoch times app now,0.233333333,0.466666667,2/19/2020
tom cotton is playing a dangerous game with his coronavirus speculation cnnpolitics of course he put it on faux noise a legitimate news network would have laughed him out of the studio,-0.1,0.5,2/19/2020
gordon chang it is possible the coronavirus came from secret wuhan bio lab,-0.2,0.85,2/19/2020
coronavirus having effect on energy markets and economy,0,0,2/19/2020
are you starting to see impacts of the coronavirus on the apply chain heres a dampb report,0,0.1,2/19/2020
coronavirus worsens uschina ties and bolsters hawks in washington latestcomments,0,0,2/19/2020
oil rebound extends but lng jet remain bearish as coronavirus blunts demand,0,0,2/19/2020
jpmorgan says record highs in european stocks can last and widen britain doesnt need anything special from eu trade deal chinas economy seen growing slowest since on virus hit brazil says prolonged coronavirus outbreak would negatively affect economy,0.014285714,0.25952381,2/19/2020
chinese confirmation of easier transmission of corona virus than previously thought,-0.083333333,0.083333333,2/19/2020
first ebola now coronavirus why an omaha hospital gets the toughest cases the new york times id,0.193181818,0.393939394,2/19/2020
qantas cuts flights to asia as coronavirus hits demand,0,0,2/19/2020
coronavirus fears prompt neighbors of california mom daughter in selfquarantine to call cops foxnews,0,0,2/19/2020
cdc says new coronavirus is even more dangerous than we thought so question is at what points measurable criteria levels will it be safe to lift the travel ban for highered highereducation,0.134090909,0.588636364,2/19/2020
the guardian china to expel wsj journalists over malicious coronavirus column calling the country the real sick man of asiathree journalists told to leave within five days after paper declined to apologise for opinion piece,-1,1,2/19/2020
on your nl major news to pm well look at the latest with rail blockades across canada plus a good news update for the coronavirus in bclisten live,0.349715909,0.625,2/19/2020
god forbide anyone makes a corona virus joke lol,0.8,0.7,2/19/2020
the wideranging ways in which the coronavirus is hurting global business some factories are beginning to reopen but labor shortages continue in a,0,0,2/19/2020
i personally believe this will be very affective to the prevention of the deadly and almost plague like corona virus very interesting output thank you very much i will consider sending this to the president thank you kanye very cool,0.2275,0.459166667,2/19/2020
coronavirus less likely to hurt samsung than apple cult of mac techjunkieinvest coronavtj,-0.083333333,0.533333333,2/19/2020
yall remember that magic night in july last yearthat somehow went totally sidewaysand then into the dirt soon afterany major steps that didnt allow that nights energy to get hijackedcould havewould haveprevented the coronavirusoutbreak that fact has been ringingyo,0.140625,0.579166667,2/19/2020
bollox aint it all this time spent on fucking brexit and the coronavirus and cant get a reporter to report some proper news shows whats important to the media these days,-0.075,0.5,2/19/2020
a novel coronavirus emerging in china key questions for impact assessment by a nice article to understand what we should ask,0.3,1,2/19/2020
some of the guys in my grade make a few dozen coronavirus jokes per day and its literally the most annoying thing ever,-0.166666667,0.5,2/19/2020
no reason to panic coronavirus misinformation on social media via,0.033333333,0.066666667,2/19/2020
a wild question is coronavirus an ethnic specific bioweapon,0.05,0.2625,2/19/2020
latest tweaks to the daily coronavirus count measures outlined here remember this inclusion which has now been removed drove the jump in cases that we saw at the back end of last week,0.125,0.241666667,2/19/2020
new coronavirus spreads more like flu than sars chinese study,0.212121212,0.318181818,2/19/2020
coronavirus latest when will britons stuck on quarantined cruise ship return to uk,0.5,0.9,2/19/2020
many us coronavirus patients are being sent to a special stateoftheart facility in nebraska it has its own ventilation system and staff with specialized training it once even successfully treated ebola votebluenomatterwho,0.551785714,0.755357143,2/19/2020
sony cancels pax east plans over concerns of coronavirus,0,0,2/19/2020
kthopkins i cant see the point in saying what gender one is anyway i mean one day you might feel a bit fluid the next a bit agender and the next who knows its the same with race one day i feel so black it hurts then i watch the news on the coronavirus and i feel chinese,-0.068452381,0.192261905,2/19/2020
the new coronavirus that xi jinping spread around the world is suspected of being a biological weapon,0.136363636,0.454545455,2/19/2020
canadians from coronavirusstricken cruise ship in japan to fly home thursday champagne,0.8,0.9,2/19/2020
things communist dictators say to western useful idiots xiwinger ccp warscoronaviruscovid,-0.166666667,0.266666667,2/19/2020
coronavirus chinas global times says actual number of overall infections unknown,-0.025,0.175,2/19/2020
evilgelicals you talk about how much god you got and god will answer republicans prayers because you are holy and stand against abortion well ive been asking you often to heal and stop this coronavirus because its getting worse prove yourselves now are you liars,-0.1,0.4,2/19/2020
anerd hopefully the climax is in the distant future the crowd is just getting ready to see it build up everybody was waiting for this coronavirus movie for a long time,0.0125,0.34375,2/19/2020
coronavirus largest study suggests elderly and sick are most at risk of infected elderly dying coronavius covid,-0.107142857,0.678571429,2/19/2020
coronavirus cases continue to peter out cases lowest in weeks if you knock this down by a wag to account for the change in classification this thing is essentially running on fumesif theres no new flareup no signs so far it will soon be toast,-0.030934343,0.510858586,2/19/2020
so many statisticians have been saying for weeks that the coronavirus data being released by china is not reliable theyre not going to inflate the numbers so you must assume underreporting maintain the travelban auspol,0.5,0.5,2/19/2020
corona virus has officially popped up in iran please please if youre sick stay at home take days off and rest dont be a hero also wash your hands times a day i sure dont wanna die bc of mf epidemics not in this shithole,-0.107142857,0.873015873,2/19/2020
the beginning of the end of chinas power about mishandling the coronavirus crisis and treading their people and the world great interview with gordon chang,0.8,0.75,2/19/2020
covid coronavirusthe wuhan no hospital lacks vegetables and rice a medical staff said please donatein a phone call with the chineselanguage a staff member at wuhanhospital no confirmed that they were running out of food,-0.1,0.5,2/19/2020
the coronavirus in mecca in was spread amongst the people performing hajjare you saying theyre being punished because of their sins they performed hajj touched and kissed the black stones which according to mohammed could erase sins unless the claim is not true,-0.170833333,0.541666667,2/19/2020
breaking more than australians evacuated from a coronavirusriddled cruise ship in japan have arrived in darwin countrysuper,0.5,0.5,2/19/2020
or maybe not since theres still a corona virus out there,0,0,2/19/2020
thats very interesting it makes me think of a warren buffett quote when the tide goes out we will see who was swimming naked the tide may just be going out now coronavirus covid fomo greed,0.325,0.525,2/19/2020
most of the fatalities were in the provincial capital wuhan where the virus first emerged fmtnews wuhan hubei coronavirus covid,0.375,0.416666667,2/19/2020
coronavirus infections continue daily drop outside hubei,0,0.025,2/19/2020
for those that are into the business side of sneakers adidas business down roughly in china due to coronavirus,-0.126851852,0.35462963,2/19/2020
if i get corona virus i better get lyme disease too cause you cant have a corona without a lime,0.5,0.5,2/19/2020
x the vogmask site says used for protection from airborne particles such as germs biologics an average person reading that might thing sure coronavirus not realizing that viruses might not be included in germs and biologics,0.116666667,0.596296296,2/19/2020
first israelis get off coronavirus ship others to remain until thursday via,0.25,0.333333333,2/19/2020
one variable that might be interesting to study is the impact of smoking on coronavirus mortality among men smoking rate is in china which is x higher than the in the us,0.375,0.5,2/19/2020
next at pm on we spoke to an olympia woman who was quarantined on a japanese cruise ship before being chartered back to the us shes now in isolation at a northern california hospital after testing positive for coronavirus covid,0.056818182,0.136363636,2/19/2020
letters coronavirus crisis calls for compassion not bigotry coronavirusoutbreak equalopportunitiescommissioneoc,0,0,2/19/2020
coronavirus and the flow of information in the chinese partystate the interpreter via,0,0,2/19/2020
coronavirus deaths taper in hubei province with confirmed coronavirusoutbreak coronavirusoutbreakallstories,0.4,1,2/19/2020
global markets are at a goldilocks juncture the collective judgement is that the coronavirus outbreak will soften important economies enough to justify central bank support but not enough to derail them cmc,0.08,0.45,2/19/2020
us securities regulator warns over chinese audit amid coronavirusoutbreak,0,0,2/19/2020
passengers begin to disembark from coronavirus ship as quarantine ends via,0,0,2/19/2020
china reports large drop in new coronavirus cases in province at heart of outbreak,0.175324675,0.441558442,2/19/2020
unpublished coverageus coronavirusunderestimated crossingup cruiseurges childunlocked callusing caseultra could,0,0,2/19/2020
just had a look at this and its a solid company with various products worldwide and is great for coronavirus its a no brainer that i just bought a bunch at,0.266666667,0.45,2/19/2020
coronavirus latest has the outbreak in china peaked,0.5,0.9,2/19/2020
iran reports first two cases of coronavirus then deaths the same day,0.125,0.229166667,2/19/2020
dean koontz novel published in predicted coronavirus like epidemic in china,0,0,2/19/2020
emergency room physician were seeing people in their s on ventilators due to coronavirus cnn video,-0.125,0.375,3/19/2020
talk about what first thing this guy says is there is no coronavirus in his opinion who is this person and why should i listen to a single thing they say,0.089285714,0.273809524,3/19/2020
covid keeping safe and the icehouse community now is the perfect time to update our network and friends on how we at the icehouse are responding to the coronavirus covid situation covid theicehouse strongertogether,0.75,0.75,3/19/2020
two lakers test positive for the coronavirus the lakers had players tested for the coronavirus virus at the teams practice facility in el segundo all of them stayed in their cars during the testing that took about seconds,0.227272727,0.545454545,3/19/2020
watch s broadcast corona virus got us on lockdown its ok dj beneficial is here to brighten your day live mix hiphop throwbacks,0.318181818,0.5,3/19/2020
disaster scenarios out of iran re coronavirus k official cases likely double or triple that experts estimate best case scenario k infected w k deaths worst case is million cases w million deaths staggering fatality covid,0,0.575,3/19/2020
after effect of the coronavirus,0,0,3/19/2020
after all they are playing so nice after unleashing what may be the most devastating bioweapon in human history they are making amends by seeing america plunged into the mighty sea of coronavirus by withholding medical supplies that our politicians got rich on this is fine,0.161458333,0.59375,3/19/2020
senator dumped up to million of stock after reassuring public about coronavirus preparedness via,0,0.066666667,3/19/2020
the monetary board mb slashed the interest rates of bangko sentral ng pilipinas bsp for the second time this year to inject liquidity into the economy and temper the ill effects of the coronavirus disease covid pandemic via,-0.25,0.5,3/19/2020
boris johnson my advice this is to bring back the corona virus testing if you do not what people will panic and well get paranoid please bring it back the testing,0,0,3/19/2020
trump announces fda making antimalaria drug available to test coronavirus treatment foxnews,0.4,0.4,3/19/2020
shocknever trump leader rick wilson mocks melania trumps coronavirus help be infected via,0,0,3/19/2020
i wanted to share a few words of positivity based on some conversations ive had today and seeing the incredible work our nhs dowestandtogether covid coronavirus nhs thankyounhs recruitmentconsultant recruitinglife keeprighton notyouraeragerecruiter bickers,0.35,0.5,3/19/2020
i urge everyone to read this and consider the foresight planning and processes of an enlightened government what we can learn from singapores coronavirus tactics auspol,0,0,3/19/2020
despite trumps lies for weeks americans have figured out the coronavirus is a big dealtrumpliedamericansdied,0,0.1,3/19/2020
finding out of californians going to contract coronavirus in the next weeks per governor gavin newsom,0,0,3/19/2020
yearold ca man dead of coronavirus recently visited disney world via,-0.1,0.325,3/19/2020
theres only one cure from the coronavirus and thats the croweronavirus join me for a trip through hell in doom tonight pm easternnot actual medical advice my streams have only been known to cure scurvy thats a vitamin c joke im sorry,-0.1,0.62,3/19/2020
people are using tik tok to cope with coronavirus fears,0,0,3/19/2020
the sanders campaign is using its fundraising texts to raise money for coronavirus aid solidarity,0,0,3/19/2020
directv goes dark for a spell as america hunkers down at home over coronavirus,-0.152777778,0.344444444,3/19/2020
all kanas k schools are shut for the remainder of the school year due to chinese coronavirus concerns,-0.0625,0.1875,3/19/2020
a top republican senator dumped million in stock after early coronavirus briefings was it legal via,0.266666667,0.333333333,3/19/2020
radio stations across europe will play youll never walk alone simultaneously on friday morning as a sign of solidarity during the coronavirus outbreakradio presenter sander hoogendoom of dutch channel fm asked colleagues to join him by playing,0,0,3/19/2020
coronavirus in ny lawyer linked to the countys spread awake and recovering wife says,0,0,3/19/2020
wa socialsecurity workers worry about coronavirus exposure tacoma news tribune,0,0,3/19/2020
percent of californians will be infected with coronavirus,0,0,3/19/2020
republicans democrats im amazed someone this stupid was allowed on tv to spew this dangerous a line i really hope this clown gets a severe version of the trump corona virus and winds up on a respirator thats what he wants for all those kids whose events were cancelled,-0.25,0.55,3/19/2020
massachusetts has launched its first drivethrough coronavirus testing facility,0.25,0.333333333,3/19/2020
if youre self isolating its important to keep a routine its tempting to sleep all day but this wont help your mentalhealth set small achievable goals for yourself daily and keep busy do something positive for yourself and remember wereinthistogether coronavirus,0.095454545,0.449090909,3/19/2020
the coronavirus pandemic reporting on whats working even in modest ways helps tell the whole story,0.15,0.65,3/19/2020
coronavirus is speeding up the amazonification of the planet by sigh,0,0,3/19/2020
the long beach health amp human services department share these easy to follow illness prevention tips during coronavirus covid,0.127777778,0.444444444,3/19/2020
latest more than more visit the coronavirus mobile test site on thursday,0.5,0.633333333,3/19/2020
huh climate alarmist uses pandemic to whine over coronavirus capitalism thursdaythoughts via,0,0,3/19/2020
coronavirus screeningtesting hotline goes live at am friday for folks in jefferson orange hardin newton and jasper counties via,0.136363636,0.5,3/19/2020
were in this together our executive director amp chair have a new message for cas arts amp culture field as we face the covid coronavirus public health crisis including important updates on our operations links amp resources artsca californiaforall,0.178787879,0.507070707,3/19/2020
the coronavirus and the kursk submarine disaster via,0,0,3/19/2020
coronavirus responsewe encourage states to remain steadfast in maintaining humanrights based approach to regulating this pandemic in order to facilitate emergence of healthy societies with rule of law and human rights protections un experts,0.3,0.466666667,3/19/2020
kenya govt to commence random coronavirus screenings saturday cs kagwe,-0.5,0.5,3/19/2020
i dont trust some of these coronavirus testing results,0,0,3/19/2020
the media who is screaming racist now called it wuhan virus chinese virus or china coronavirus way before the president,0,0,3/19/2020
